Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Bossert,Martin,EDU,08,"Als aktiver Grossrat beschäftige ich mich täglich mit Politik.Laufend setze ich mich für den Erhalt unserer christlichen Werte, einen ausgeglichenen Finanzhaushalt und dem Erhalt eines gesunden Mittelstands ein. Meine Erfahrung und mein Engagement können auch national etwas bewirken.","Aktuell befindet sich unsere Neutralität stark unter Druck. Mir ist wichtig, dass diese aufrecht erhalten bleibt. In Energie-, Finanz- und Migrationsfragen müssen mit unseren Partnern aus einer Position der Stärke gute Verträge abgeschlossen werden, ohne dass die Schweiz der EU beitritt.","Generell ist mir wichtig, dass Familien, welche ihre Kinder selbst betreuen, den Familien mit fremdbetreuten Kindern nicht schlechter gestellt sind. Speziell für den Kanton Aargau ist mir eine gute Zusammenarbeiit mit dem Astra wichtig. Der Ausbau der Autobahnkreisel in Rothtrist geht zu langsam.",1.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,Familie
Haller,Rolf,EDU,08,"Mit meiner mehr als 10-jährigen Zugehörigkeit zum Grossen Rat kenne ich den Ratsbetrieb bestens und kann meine Erfahrungen gewinnbringend im Nationalrat  einsetzen. Unser Parlament braucht Menschen, die nicht aus Eigennutz politisieren, sondern sich für eine lebenswerte Schweiz einsetzen.","Unsere Energiepolitik ist nicht auf Vernunft und das Machbare aufgebaut, sondern viel zu idealistisch geprägt. Dieser Weg führt zum Kollaps. Die Schweiz braucht dringend eine sichere und für die Bürger und Bürgerinnen bezahlbare Energieversorgung und echte Lösungen anstelle von Wunschdenken.","Der Kanton Aargau als wichtiger Wirtschaftsstandort und Energieversorger muss gestärkt werden. Eine gute und sichere Verkehrsinfrastruktur von MIV und ÖV ist ebenso wichtig wie eine Landwirtschaft, die gute Rahmenbedingungen zur Erhöhung der Lebensmittelproduktion vorfindet.",0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,Energie
Strebel,Cornelia,EDU,08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bolliger,Martina,EDU,08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Haldimann,Roland,EDU,08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lüthi,Tabea,EDU,08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Burgstaller,Wolfgang,EDU,08,"Unsere Zeit braucht mehr Realismus und Unaufgeregtheit. Meine biblischen Werte sind Mann, Frau, Ehe, Familie, Bildung, Verlässlichkeit. Freude an Tatsachenwahrheiten und Vernunftwahrheit. Ich will, dass die Gesellschaft mehr politischen Diskurs übt. Bürger fragend bleiben und sich offen äussern.","Verfassungsmässige Neutralität und Souveränität der Schweiz sichern. Offenlegung ausländischer Ansprüche im Inland, insbesondere der PPP: Public-Private-Partnership.",Den wirtschaftlichen Standort des Kanton Aargaus stärken. Die Attraktivität für Unternehmen steigern und Arbeitsplätze im Wettbewerb gegen die Nachbarmetropolen erhalten und mehren.,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Wirtschaft
Müller,Markus,EDU,08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Schafer,Bernard,EDU,08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Suter,Marco,EDU,08,"Die Motivation etwas zu verändern, an der Gesellschaft mitzubauen und aktiv mitgestalten. Mit Sachlichkeit und Verantwortungsbewusstsein den Dialog stärken und demokratische Werte leben!","Die grösste Herausforderung für die Schweiz ist, sich wieder vermehrt der Demokratie wie sie früher üblich war hinzuwenden, den sachlichen Austausch von unterschiedlichen Positionen im gegenseitigem Respekt diskutieren. Weg vom Diktat die uns Konzerne aufdrängen, zurück zur Demokratie für das Volk!","Ehe und Familie schützen, Aufarbeitung der Covid Pandemie! Verhindern von Gentechnik in Lebensmitteln.",2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Patriotismus
Rusterholz,Lukas,EDU,08,Ich bin grundsätzlich interessiert an der Gesellschaft und der damit verbundenen politischen Entwicklungen. Nach Möglichkeit versuche ich darauf Einfluss zu nehmen und meine Haltungen und Ansichten in gepflegten Diskussionen und Debatten auf den Prüfstand zu stellen.,Eines der drängendsten Probleme sehe ich bei der um sich greifenden Ideologisierung in den verschiedensten Themenbereichen. Die Selbstverantwortung der Menschen wird immer kleiner geschrieben und da würde ich gerne ansetzen. Bürokratie und Regulation müssen überschaubar bleiben.,"Sämtliche Themen, welche den Aargau betreffen sind mir natürlich besonders wichtig. Der Ausbau der Mobilität ist mir sicher ein grosses Anliegen und dabei ist mir besonders wichtig, dass die verschiedenen Verkehrsträger nicht gegeneinander ausgespielt werden!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Plüss,Conny,EDU,08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Spring,Michael,EDU,08,Ich kandidiere um die Politik in diesem Land aktiv mitgestalten zu können.,Die Zuwanderung.  Wir müssen die Verträge mit der EU kündigen und unsere Zuwanderung selber steuern.,"Gute Infrastruktur Bezahlbare Krankenkassenprämien die Zuwanderung und das Asylchaos stoppen  Vernünftige Strompreise  Änderung, dass die Spitäler wieder zum Bund gehören und nicht als Aktiengesellschaften geführt werden, ( nicht mehr gewinnorientiert)",0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,Zuwanderung
Hottinger,Monika,EDU,08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tischmeyer,Christian,EDU,08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Suter,Carla,EDU,08,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
