Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Studer,Lilian,EVP,07a,"Ich habe Menschen gerne. Unsere Gesellschaft und unsere Umwelt liegen mir am Herzen. Dies ist seit Anbeginn meiner politischen Tätigkeit meine Hauptmotivation, in der Politik und für unsere Schweiz und somit «für euses Zämeläbe» tätig zu sein und dabei konstruktiv nach Lösungen zu suchen.","Der Fachkräftemangel, die Energiesicherheit, der Klimaschutz, ein Abkommen mit der EU, die steigenden Kosten z.B. bei Krankenkassenprämien sind u.a. Themen, die die Gesellschaft und Politik beschäftigt. Patentlösungen gibt es selten, es braucht ein Massnahmenmix und konstruktive Lösungsansätze.","Intakte Umwelt, respektvolles Miteinander und starke Familien sind zentral für ein gutes Zusammenleben. Für dies setzte ich mich besonders ein. Konkrete Forderungen sind u.a.: Weiterführung der Investitionen in erneuerbare Energien, Aufwertung der Care-Arbeit, Abschaffung der Heiratsstrafe.",0.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,"Wirtschaft, Energie"
Plüss,Urs,EVP,07a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dietiker-Brunner,Therese,EVP,07a,"Ein nachhaltiger Lebensstil ist mir wichtig. Ich wünsche mir mehr Fairness für Armutsbetroffene,  chancengerechte Kinderbetreuung und die Würdigung von Care-Arbeit. Ausbeutung und Menschenhandel höhlen unsere Gesellschaft aus. Mehr Biodiversität und innovative Mobilitätsmodelle sind unumgänglich.","Das Gesundheitssystem wurde zum unübersichtlichen Geschäftsmodell. Patientinnen und Patienten müssen dringend gestärkt werden in ihrer Gesundheitskompetenz Die Lösung der Klima- und Energiekrise ist mir wichtig: Reichen Anreize für Verbesserung nicht aus, müssen wir über Verzicht nachdenken.","Trotz seiner Grösse ist der Aargau zurückhaltend bei Neuerungen. Er benötigt den Anstoss von Bundesbern sei es für flächendeckende Kinderbetreuungsangebote und die Erhöhung von Kinderzulagen, für neue medizinische Ausbildungen aber auch für energetische Sanierungen und innovative Verkehrslösungen.",0.0,0.0,1.0,1.0,1.0,0.0,6.0,2.0,0.0,0.0,1.0,1.0,Familie
Frauchiger,Roland,EVP,07a,"Mir ist es ein Anliegen, in unserer Gesellschaft auf der Basis christlicher Werte Verantwortung mitzutragen. Aktuell stehen wichtige Entscheide an. Die vielschichtigen Herausforderungen brauchen pragmatische Lösungen. Fachkenntnisse, Gespür für das Machbare und Kompromissbereitschaft sind gefragt.","Das dringendste künftige Problem ist die Energieversorgung. Es gibt bisher keine vertrauenswürdigen Konzepte. Energie ist eines der wenigen politischen Themen, welches mathematisch beschrieben und somit die künftige Entwicklung gut beurteilt werden kann. Leider gibt es zu viele utopische Meinungen.","Als Nationalrat geht es auch um den eigenen Kanton, aber wichtiger ist die nationale Sicht. Es gibt viele Themen die den Aargau auch betreffen, aber national zu lösen sind. Beispielsweise Familienpolitik, Gesundheitskosten, Energieversorgung, Asylwesen, Sicherheitspolitik oder Aussenpolitik.",1.0,1.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,Energie
Schürch-Meder,Claudia,EVP,07a,"In unserer Familie wurden schon immer politische Diskussionen geführt, so war es für mich ein logischer Schritt auch einer Partei beizutreten und mich politisch zu engagieren. Ich möchte in meinem politischen Engagement Brücken bauen um konstruktiv gute Lösungen zu suchen.","Das Erreichen der Netto-Null-Ziele und der Schutz unserer Umwelt sind mir persönlich grosse Anliegen, hier braucht es energische Schritte und eine ausgewogene Mischung zwischen Anreizen und Verboten, konsequente Priorisierung von nachhaltiger Mobilität, Landwirtschaft und Handel.",Der Kanton Aargau muss als wichtiger Verkehrsknotenpunkt der Schweiz auf den überlasteten Strecken durch einen konsequenten Ausbau des öffentlichen Verkehrs entlastet werden.,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,Verkehr
Seibert,Uriel,EVP,07a,"Einsatz für jene, die ihre berechtigten Anliegen (noch) nicht vertreten können: Kommende Generationen, ungeborene Kinder, sozial Benachteiligte","Kostenexplosion im Gesundheitswesen: Seit 1990 stiegen Kosten pro Einwohner / Monat von 340 auf 800 Franken (Quelle: BFS)! Mit Effizienzmassnahmen (leider häufig zulasten Personal) ist es nicht getan, es braucht ein gesellschaftliches Umdenken (was ist notwendig, wünschenswert, sinnvoll?).","Mehr Fairness im interkantonalen Steuerwettbewerb: Es ist stossend, dass Grossunternehmen ihre Gewinne hauptsächlich im Aargau erwirtschaften, diese jedoch in Kantonen mit Tiefsteuersätzen versteuern.",0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,Familie
Bärtschi,Irene,EVP,07a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Minder,Christian,EVP,07a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Müller-Hefti,Barbara,EVP,07a,"Ich bin dankbar für den Einsatz unserer Gross-/Eltern für Demokratie, Neutralität und weitere schweizerische Werte. Ich engagiere mich für dieses einzigartige Erfolgsmodell, damit auch unsere Gross-/Kinder von den Vorzügen der Schweiz profitieren und in Frieden in diesem schönen Land leben können.","Der gesellschaftliche Kern und das Fundament unseres Landes sind die Familien. Durch die Übernahme von Betreuungs-, Erziehungs- und Pflegeaufgaben entlasten sie das Gesundheitssystem und tragen zur psychischen Gesundheit der Gesellschaft bei. Ich engagiere mich für starke Familien.","Wie schon auf kommunaler Ebene setze ich mich für starke Familien, ein respektvolles Miteinander und eine intakte Umwelt ein.",2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,Familie
Fischer-Lamprecht,Lutz,EVP,07a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
