Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Jauslin,Matthias Samuel,FDP,03a,Wer nicht politisiert wird politisiert.,Die zunehmende politische Polarisierung mit einerseits sozialistischer Überregulie­rung und anderseits konservativer Abschottung gefährdet unseren Wohlstand. Probleme können nicht isoliert nach dem Schema links-rechts oder stur nach einer Partei-Doktrin gelöst werden.,"Im Zentrum steht eine liberale Wirtschafts- und Gesellschaftspolitik für die ganze Schweiz. Dazu gehört Eigenverantwortung, fairer Wettbewerb und gesunde Staatsfinanzen.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wirtschaft
Riniker,Maja,FDP,03a,"In der Bundesverfassung (Art. 6) steht: „Jede Person (...) trägt nach ihren Kräften zur Bewältigung der Aufgaben in Staat und Gesellschaft bei.“ Dieser Auftrag treibt mich an. Ich habe nach der Lehre, Berufsmaturität und FH-Studium immer teilzeit gearbeitet. Beruf, Familie, Politik: ein guter Mix.",Frieden ist nicht selbstverständlich. Sicherheit muss uns etwas Wert sein. Die Nato-Kooperation muss unter Wahrung unserer Neutralität ausgebaut werden. Weiter ist die Innovation die Basis unseres Wohlstandes. Investitionen in den Bildungs- und Forschungsstandort sind zentral.,"Falls ich wiedergewählt würde, kann ich 2025 Nationalratspräsidentin werden. In dieser Rolle würde ich die Vorzüge unseres Kantons bekannter machen: Wasser, Auen- und Seenlandschaften, Schlösser, freundliche Menschen, Wirtschaft und unsere regionalen Produkte.",2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,"Bildung, Wirtschaft"
Glarner,Jeanine,FDP,03a,"Als Gemeindeammann und Grossrätin kenne ich zwei von drei Staatsebenen bestens. Beide Staatsebenen kämpfen mit ungenügenden Bundesgesetzen und deren Umsetzung. Ich stehe ein für Pragmatismus, der leider immer weniger möglich ist. Es muss wieder möglich sein, vor Ort zu entscheiden.","Wir brauchen eine sichere, bezahlbare und umweltschonende Energieversorgung. Denn sie ist die Lebensader für Gesellschaft und Wirtschaft. Ich setze auf einen breiten, möglichst CO2-freien Strommix und damit auch ganz klar auf die Kernenergie. Ohne Kernenergie erreichen wir die Klimaziele 2050 nicht.","Unsere Wirtschaft im Kanton Aargau ist auf eine unterbruchsfreie und bezahlbare Energieversorgung angewiesen, um im internationalen Umfeld bestehen zu können. Den Wettbewerbsvorteil einer bezahlbaren Energieversorgung gilt es mit den entsprechenden Entscheiden in Bern zu sichern.",0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Energie
Schoop,Adrian,FDP,03a,"In der Politik gibt es zu wenig Unternehmer, die etwas von Wirtschaft verstehen und Klartext sprechen. Funktionierende Firmen und Arbeitsplätze sind die Grundlage für eine funktionierende Gesellschaft und das Erfolgsmodell Schweiz. Die Politik muss das anerkennen und sich permanent dafür einsetzen.","Es braucht einen Kurswechsel, sowohl in der Energie- als auch in der Migrationspolitik. In der Energiepolitik muss die Versorgungssicherheit im Vordergrund stehen – neue Kernkraftwerke müssen gebaut werden. Bei der Zuwanderung müssen wir uns fragen, ob die richtigen Menschen in die Schweiz kommen.","Der Aargau muss der Wirtschaftsmotor der Schweiz bleiben. Die rasch zunehmenden Staustunden behindern die Wirtschaft und kosten sehr viel Geld. Die Verkehrsachsen müssen rasch ausgebaut werden. Dann will ich endlich eine Migrationspolitik, welche unseren Gesetzen entspricht.",0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"Energie, Zuwanderung"
Freiermuth,Sabina,FDP,03a,"Bereits in Oberstufe und Gymnasium vertrat ich die Interessen meiner Schulklasse als «Klassenchefin&quot;. Dort startete meine Erfahrung im Finden von Lösungen, die für alle Beteiligten stimmig sind.  Meine Herkunft lehrte mich zudem, dass jeder Franken zum Ausgeben zuerst eingenommen werden muss.",Ich mache mir Sorgen um die politische Kultur in unserem Land. Die zunehmende Polarisierung und Verrohung der Diskussion verhindern die gutschweizerischen Kompromisse. Das Verharren auf Maximalpositionen verhindert dringend notwendige Reformen. So droht der Schweiz ein Abdriften ins Mittelmass.,"In der kommenden Legislatur geht es auf nationaler Ebene um richtungsweisende Entscheide bei der Altersvorsorge, dem Gesundheitswesen, der Wirtschaftspolitik wie auch der internationalen Zusammenarbeit. Diese Dossiers sind für den Aargau wichtig. Ich würde dafür gerne liberale Lösungen mitgestalten.",0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
Meier,Titus,FDP,03a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Berner,Yannick,FDP,03a,"Mich motivieren spannende Begegnungen mit Menschen verschiedenster Ansichten und Lebenssituationen. In der Politik kommen diese Stimmen zusammen, um die besten Lösungen zu finden. Als Unternehmer möchte ich mich in Bern für einen fortschrittlichen Werkplatz einsetzen für Mensch und Wirtschaft.","Zurzeit beschäftigen mich die wachsende Digitalisierung, der Fachkräftemangel und der Erhalt der Schweiz als Innovationsweltmeisterin. Ziel ist es, den Werkplatz Schweiz durch optimale Rahmenbedingungen zu stärken: stabile EU-Beziehung, Individualbesteuerung, Förderung des dualen Bildungssystems.","Der Kanton Aargau soll noch mehr als Werkplatz und wichtiger Industriestandort gesehen und verankert werden. Dafür brauchen wir eine Infrastrukturplanung, die auch dem Kanton Aargau genügend Gewicht schenkt und internationale Rahmenbedingungen für unsere exportstarken Unternehmen.",0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Wirtschaft
Hauser,Claudia,FDP,03a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tüscher,Bruno,FDP,03a,Da ich mir vorstellen kann in ein paar Jahren einmal in Bern zu wirken. Zum aktuellen Zeitpunkt rechne ich mir noch keine Chancen aus.,"- Die veränderte Sicherheitslage in Europa - Die Beziehungen CH-Europa (Bin gegen einen EU-Beitritt, aber für billaterale Verträge) - Altersvorsorge - Nachfrage nach Digitalisierung.","- Gesicherte Altersvorsorge, damit die jetzigen Generationen und auch die nächste Generation eine anständige Rente hat. - Das Sicherheitslevel der CH wieder anheben - Mehr Digitalisierung / weniger Bürokratie.",2.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Zuwanderung
Meier,Adrian,FDP,03a,"Als Grossrat und als Ressortleiter sowie Mitglied der wichtigen Kommission «Umwelt, Bau, Verkehr, Energie und Raumordnung» engagiere ich mich seit Jahren mit Herzblut für einen wirtschaftlich starken Kanton Aargau.",Die Versorgungssicherheit in der Schweiz ist stark gefährdet. Die Energiestrategie 2050 führte uns in eine Sackgasse und zu gestiegenen Energiepreisen. Für die Erreichung der Klimaziele ist die Elektrifizierung unabdingbar. Deshalb muss langfristig ein Ersatz der Kernenergieanlagen möglich sein.,Der Kanton Aargau ist ein Kanton der Regionen. Nach wie vor sind jedoch einige Regionen wie beispielsweise das Wynental oder das Zurzibiet ungenügend an das nationale Strassen- oder Schienennetz angebunden. Alle Regionen verdienen schnelle Anschlüsse an die grossen Zentren.,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,Energie
