Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Flach,Beat,GLP,06a,"Ich möchte daran mitwirken, dass die Schweiz und die Welt sich nachhaltiger entwickelt als bisher. Wirtschaftlicher Erfolg, soziale Gerechtigkeit und Umweltschutz schliessen sich nicht aus, sonder ergänzen sich. Ich sehe die Schweiz als Teil Europas und der demokratischen Kräfte dieser Welt.","Mehr Umweltschutz, Massnahmen gegen den Klimawandel, Umsetzung der Energiewende, die Verbesserung der Zusammenarbeit mit der EU und Stärkung der Demokratieförderung bei uns und auf der Welt. Wir haben viel zu tun und mit Mut zur Lösung schaffen wir das auch.",Wichtiger als dem Aargau mehr Vorteile zu verschaffen ist die Verbesserte Zusammenarbeit zwischen den Kantonen! Mehr Gemeinsinn und weniger Kantönligeist! Die Aufgaben sind nur zusammen zu lösen.,1.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zuwanderung
Portmann,Barbara,GLP,06a,"Unser Land mitgestalten zu dürfen, ist ein Privileg. Unserem Kanton in Bern ein Gesicht, eine Stimme, eine Haltung zu geben, spornt mich an. Ich bringe breite Erfahrungen aus kommunaler und kantonaler Ebene mit (Legislative, Exekutive und Verwaltung), ebenso aus ehrenamtlichen Tätigkeiten.","Der Klimawandel stellt uns vor immense Herausforderungen. Zusätzlich zu den Anstrengungen für die Energiewende und den Erhalt der Biodiversität gilt es, unsere Infrastruktur auf Hitze und Trockenheit anzupassen, so auch Schulareale und Altersheime. Forschung und Innovation sind der Schlüssel.",Wir brauchen dringend stabile Verhältnisse und neue Verträge mit der EU. Speziell im Grenzkanton Aargau ist die Wirtschaft darauf angewiesen. Investitionen in die Vereinbarkeit von Familie und Beruf stärken unseren Wirtschaftsstandort.,0.0,1.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,Wirtschaft
von Planta,Gian,GLP,06a,Ich will Verantwortung übernehmen um die Erfolgsgeschichte der Schweiz weiter zu schreiben und die Klimaerwärmung in den Griff zu kriegen. Dafür müssen wir handeln. Jetzt.,"Klimawandel, Kostenwachstum im Gesundheitswesen, Sicherung der Altersvorsorge ohne Umverteilung von jung zu alt, einfache und gute Rahmenbedingungen für die Wirtschaft inklusive Weiterentwicklung des bilateralen Weges, mehr umweltfreundlichen Verkehr und Taktfahrplanverbesserungen.",Ausbau des öffentlichen Verkehrs,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,"Verkehr, Umwelt"
Ernst,Manuela,GLP,06a,"Meine grosse Motivation ist der vielfältige Wissensaustausch - politische Herausforderungen brauchen diverse Lösungsansätze und ein ein breit abgestütztes Wissen, was ein einzelner nicht mitbringt. Als Architektin werde ich meine Erfahrungen bei Bauprojekten und mit Gesetzen einbringen können.","Die Klimaziele erreichen wir nur zusammen mit der Wirtschaft - das gelingt aber weder mit Klima- noch Sesselklebern. Klimaschädliches Handeln darf sich nicht mehr lohnen, dafür sollen innovative Lösungen gefördert werden.",Zur Reduktion von Stau sind attraktive öV-Verbindungen und der Ausbau vom öffentlichen Verkehr für den Aargau essentiell. Aber auch Velo-Routen sollen mit nationaler Unterstützung gefördert werden.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Huber,Lukas,GLP,06a,"Wir bestimmen heute, in welchem Land unsere Kinder und Enkelkinder aufwachsen werden. Als Vater und Bürger fühle ich mich verpflichtet, die Welt von morgen mitzugestalten. Mit grosser Leidenschaft und mit all meinem Wissen und meiner Erfahrung möchte ich im Parlament einen Beitrag dazu leisten.","Oberstes Ziel der Politik ist die Erhaltung unserer Lebensgrundlagen: Eine gesunde Umwelt, eine starke Bildung, ausgeglichene Finanzen und stabile Beziehungen zu unseren Nachbarn. Das erreichen wir, indem wir Innovation fördern und die Digitalisierung als Chance nutzen.","Der Kanton Aargau vereint viele Eigenschaften, die wir auch als Land fördern müssen: Wunderbare Natur, attraktive Wohn- und Wirtschaftsbedingungen, ein funktionierendes öV-Netz und gesunde Finanzen. Indem ich mich für diese Themen in der Bundesversammlung einsetze, stärke ich auch den Kanton Aargau.",0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,Familie
Kern Knecht,Leandra,GLP,06a,"Mitreden - Mitgestalten - Mitentscheiden Dank der direkten Demokratie die wir in der Schweiz geniessen, haben wir das Privileg, aktiv mitzureden, mitzugestalten und mitzuentscheiden wie und wohin wir uns als Land und Gesellschaft entwickeln wollen.","Der Klimawandel mit all seinen Folgen ist unser dringenstes und grösstes Problem. Wir erhalten in regelmässigen Abständen einen bitteren Vorgeschmack davon wie unsere Zukunft aussehen wird, wenn wir nicht schnellst möglich das Ruder herum reissen und die Klimaziele konsequent umsetzen.","Zeigen, dass der Kanton Aargau mehr zu bieten hat als Rüebli, AKWs, weisse Socken und Autobahnen",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Betsche,Matthias,GLP,06a,"Wir können nicht weiter auf Kosten der nächsten Generationen leben. Unsere Zukunft hängt stark davon ab, Wirtschaft und Umwelt zu Partnern zu machen. Ich stehe für einen zukunftsgerichteten und lebenswerten Kanton Aargau, wo wirtschaftlicher Erfolg Hand in Hand mit Umwelt – und Naturschutz geht.","Seit Jahrzehnten wird von der Klimaerwärmung gesprochen, vom Raubbau an der Natur. Wir haben bislang zu wenig gemacht, um dies zu ändern. Die Auswirkungen des Klimawandels werden zunehmend spürbar. Die Erhaltung der Biodiversität ist eine wirtschaftliche Notwendigkeit.","Eine intakte Natur und eine starke Wirtschaft sind Ziele, die gemeinsam zu erreichen sind – sind eine Chance, machen den Aargau attraktiv. Ich möchte die innovative und ökologische Kreislaufwirtschaft auf Bundesebene stärken. Hier hat der Kanton Aargau die Chance, eine Vorreiterrolle zu übernehmen.",0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Umwelt
Rauber Saxer,Andrea,GLP,06a,Beruflich arbeite ich seit 30 Jahren in der Politik. Als Botschafterin der Schweiz in Bosnien und Herzegowina war ich schockiert über die schlimme Luftverschmutzung in Sarajewo. Damit begann mein Engagement für die Umwelt. Zurück in der Schweiz fand ich zur GLP und wurde in den Einwohnerrat gewählt.,Ein grosser Umbruch im Arbeitsmarkt kommt auf uns zu. Die grosse Babyboomergeneration geht in Pension. Es gilt die Älteren im Arbeitsmarkt attraktiv zu halten und den Jüngeren Perspektiven zu bieten. Dazu gehört auch die bessere Vereinbarkeit von Beruf und Familie.,"Die bilateralen Verträge zwischen der Schweiz und der EU sind für den Grenzkanton Aargau von besonders grosser Bedeutung. Wir brauchen endlich eine Verhandlungslösung mit der EU. Das ist wichtig für die Aargauer Wirtschaft, aber auch für den Bildungs- und Forschungsstandort.",0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,Bildung
Ounde,Ignatius,GLP,06a,"Ich habe schnell gemerkt, dass viele Fragen im politischen Raum geklärt werden müssen. Dies ist meine Motivation, Verantwortung zu übernehmen und die Zukunft aktiv mitzugestalten.Durch meine Arbeit und meine aktive Beteiligung in Vereinen, Sport und Kultur, kenne ich alltägliche Herausforderungen","Erstens die Gesundheit: Die Herausforderungen sind Prämien, überfüllte Notfälle, Fachkräftemangel. Lösung: Spitalfinazierung, Reformen, Prävention. Zweitens der Fachkräftemangel. Hier wäre die  Lösung, Unterbeschäftigte besser in Arbeitsmarkt zu integrieren.","Ich werde mich weiterhin dafür einsetzen, den Kanton Aargau zu einem florierenden und dynamischen Wohn- und Wirtschaftsstandort zu entwickeln. Mein Ziel ist es, durch Erfolg und Leistungsfähigkeit eine Attraktivität zu schaffen, die sowohl für Unternehmen als auch für Einwohnerinnen und Einwohner spürbar ist.",0.0,2.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,Wirtschaft
Moser,Françoise,GLP,06a,"Ich sehe die Schweiz nicht in Schwarz-Weiss-Tönen. Es sind die Grauschattierungen, die mich interessieren. Für meine politische Tätigkeit heisst dies: keine Polemik, sondern gemeinsam mit einer möglichst breiten Anspruchsgruppe eine gemeinsame Lösung erarbeiten. Nur so kommen wir voran.","Hohe Priorität geniesst bei mir die Umwelt. Es ist höchste Zeit, dass wir endlich konsequent auf die vorhandenen Technologien zurückgreifen und unsere Energiewirtschaft nachhaltig umbauen. Zudem muss der Rückgang unserer Artenvielfalt gestoppt werden.  Ohne Flora und Fauna - kein Mensch.","In Kenntnis um die Bedeutung des Wirtschaftsstandorts Schweiz ist es wichtig, dass wir zu unseren Nachbarn in der EU gute und faire Kontakte pflegen. Wir brauchen eine tragfähige Lösung zur Zusammenarbeit, so dass bestehende und neue Unternehmen langfristige Perspektiven in der Schweiz haben.",0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wirtschaft, Zuwanderung"
