Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Kälin,Irène,Gruene,05a,"Wir haben nur diesen einen Planeten. Und wir wissen, dass es unserem Planeten schlecht geht. Die Treibhausgasemissionen steigen, die Artenvielfalt nimmt ab. Hitzewellen, Waldbrände und massive Niederschläge sind direkte Folgen der Klimakrise. Es ist an uns zu handeln! Denn es gibt keinen Plan B.","Neben der Klimakrise, die wir meistern müssen, laufen wir Gefahr in eine europapolitische Sackgasse zu fahren. Dabei brauchen wir dringend wieder geregelte Beziehungen mit unserer wichtigsten Partnerin, der EU. Von einer starken EU profitieren wir als Demokratie, wie auch als Wirtschaft.","Der Aargau ist ein Kanton der Regionen und darf beim öV-Angebot nicht weiter benachteilgt werden. Zudem sind wir als Atomkanton besonders gefordert den nahenden Antomausstieg so zu planen, dass wir ein Energiekanton bleiben und wertvolle und zukunftsträchtige Arbeitsplätze bei uns bleiben.",1.0,3.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Energie
Müri,Ruth,Gruene,05a,"Es ist Zeit, eine enkeltaugliche Zukunft zu gestalten. Bringen wir den Wandel endlich ins Parlament! Als Badener Stadträtin und grüne Grossrätin bin ich es gewohnt, Lösungen zu erarbeiten und auszuhandeln. Dabei habe ich immer die Gesamtwirkung auf Gesellschaft, Umwelt und Wirtschaft vor Augen.","Die Klimakrise. Ich werde mich für konsequenten Klimaschutz einsetzen. Das heisst: CO2 reduzieren, erneuerbare Energiequellen forcieren, mit nachhaltiger Produktion und nachhaltigem Konsum unsere Ressourcen effizient einsetzen, Innovationen fördern und so Arbeitsplätze schaffen.","Chancengerechtigkeit und eine gute Verfügbarkeit von Arbeits- und Fachkräften. Ich werde mich für eine faire Verteilung von Bildungs-, Berufs- und Aufstiegschancen einsetzen. Dafür braucht es gute und bezahlbare Kinderbetreuung. Gleicher Lohn für gleichwertige Arbeit muss endlich gewährleistet sein.",0.0,0.0,6.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,Umwelt
Fricker,Jonas,Gruene,05a,"Ich will meinen Beitrag leisten zu einer klimaneutralen Schweiz mit sicherer Energieversorgung. Dazu bringe ich das nötige Fachwissen und das innere Feuer zur Veränderung mit. Diese kombiniere ich mit einer realistischen Erwartungshalten, da ich aus eigener Erfahrung weiss, wie Bundesbern funktioniert","Um unsere Lebensgrundlagen zu erhalten, müssen wir das Klima schützen und die Biodiversität erhalten. Dazu müssen wir unsere Energieversorgung auf 100% erneuerbar umstellen und zwar so, dass die Biodiversität erhalten bleibt. Dieser Umbau bringt wirtschaftliche Chancen und muss sozial ablaufen.","Der Aargau ist Energiekanton mit viel Knowhow. Wenn wir in Bundesbern die Weichen zur Energiewende richtig stellen, kann er sein Innovationspotential entfalten und zukunftsfähige Arbeitsplätze schaffen. Weiter sind mir gute Infrastrukturen für öV, Fuss- und Veloverkehr sowie Ökologie ein Anliegen.",0.0,0.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Energie
Bossard,Nicolá,Gruene,05a,"Was mich zutiefst motiviert ist weder das Ausmass der Krisen noch die politische Ignoranz. Es ist die schier überwältigende Fülle an Lösungen, die bereits heute existieren – und unser Leben erst noch viel schöner machen können. Für diese schönere Welt setze ich mich ein - mit Herz, Hand und Verstand","Politik und Gesellschaft müssen die Klimakrise in ihrer ganzen tödlichen Macht erkennen. Und dann werden wir merken, was wirklich, wirklich zählt. (Tipp: Es ist nicht das grössere Auto oder der Christmas-Shopping Flug nach New York). Dann werden Dinge möglich, die heute noch undenkbar sind.","Auch eine Aargauer Familie wird sich freuen, wenn vor ihrer Wohnung keine Abgase in die Luft gepustet werden und der Verkehrslärm verschwindet. Sie werden begeistert durch den Kanton radeln, auf blauschimmernde Solardächer und farbenfrohe Gärten schauen und denken: «Was für ein schöner Kanton!&quot;",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,Verkehr
Wey,Hannah,Gruene,05a,"Ich stamme aus einer politisch aktiven Familie ohne Auto. Die Gleichberechtigung, Wichtigkeit von Bildung und Offenheit gegenüber anderen Kulturen wurde vorgelebt. Nun bin ich motiviert, diese Erfahrungen kombiniert mit meinem Fachwissen zu Umweltthemen in den Nationalrat einzubringen!","Veränderungen in der Mobilität (Velo), der Landwirtschafts- und Ernährungspolitik sind angesichts der Klimakrise dringend! Ich setze mich ausserdem ein für mehr Chancengerechtigkeit (z. B. Kitas und Tagesschulen), um dem Fachkräftemangel entgegenzuwirken.","Eine möglichst schnelle umweltfreundliche Umstrukturierung der Sektoren Mobilität, Landwirtschaft und Ernährung und Chancengerechtigkeit. Diese Themen betreffen alle, den Energie- und Verkehrskanton Aargau mit hohem Innovationspotential umso mehr!",0.0,1.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,Wirtschaft
Kosch,Mirjam,Gruene,05a,"In der Schweiz halten wir eine funktionierende Demokratie für selbstverständlich. Doch vielerorts sind Demokratien instabil und wer der Regierung widerspricht, lebt in Gefahr. Damit wir auch in Zukunft in einer stabilen Demokratie leben, braucht es engagierte Politiker:innen. Deshalb kandidiere ich.","Klimakrise, Fachkräftemangel, Gesundheitsversorgung – Probleme gibt es derzeit viele. Als reiches Land mit tollen Hochschulen und einem bewährten dualen Bildungssystem haben wir die besten Voraussetzungen, diese zu lösen. Statt jede Veränderung zu fürchten, müssen wir den Wandel mutig mitgestalten.","Ich möchte einen Aargau, der selbstbewusst die Zukunft der Schweiz mitgestaltet. Statt als konservativer Autobahnkanton sollte sich der Aargau als progressiver, sozialer und erneuerbarer Energiekanton positionieren. Dafür setze ich mich ein.",3.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,"Energie, Patriotismus"
Obrist,Robert,Gruene,05a,"Ich kandidiere, weil die Fraktion der Grünen im National- und Ständerat wachsen muss. Die  Aktivitäten zur Bewältigung der Klima- und Biodiversitätskrise müssen auf nationaler Ebene verstärkt  werden.","Die Bewältigung der Klima- und eng damit verbunden der Biodiversitätskrise. Als Naturwissenschafter verstehe ich nicht, wie die Warnungen eines Weltklimarates zuhanden der Politik ignoriert werden. Zudem muss endlich die Steuerhinterziehung wirksam bekämpft werden.","Im Nationalrat steht die Parteipolitik im Vordergrund. Es braucht dringend eine bessere Koordination zwischen den Kantonen, den heutigen Föderalismus können wir uns nicht mehr leisten (Gesundheitspolitik, Energie- Bildungspolitik usw.).",0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Umwelt
Kaufmann,Maurus,Gruene,05a,"Den technologischen Fortschritt zur Arbeitszeitverkürzung nutzen statt für das Anhäufen materieller Dinge. Deren Kosten tragen wir nur teilweise, den verbleibenden Teil bürden wir Menschen in anderen Weltgegenden oder künftigen Generationen auf.","Waldbrand im Wallis, Downburst im Jura. Der Klimawandel wird durch Intensität und Häufigkeit solcher Ereignisse immer deutlicher. Die Abkehr von fossilen Energieträgern ist aber auch aus sicherheitspolitischen Überlegungen überfällig, um das Mitfinanzieren von kriegstreibenden Autokraten zu beenden.","In erste Linie möchte ich meine politischen Entscheidungen so fällen, als ob ich nicht wüsste, wann und wo, in welchem sozialen Umfeld und mit welchen Fähigkeiten und Schwächen ich geboren worden bin (oder geboren werden würde). Mein Heimatkanton spielt dabei eine untergeordnete Rolle.",1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
Schmid,Isabelle,Gruene,05a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kroll,Anja,Gruene,05a,"Politisches Engagement bedeutet für mich gesellschaftliches Engagement - zum Wohle aller Menschen und Lebewesen auf diesem Planeten. Wie wir den raschen Verlust an Biodiversität hinnehmen, sogar forcieren, macht mich seit vielen Jahrzehnten wütend. So sägen wir den Ast ab, auf dem wir sitzen.","Unser Gesundheitssystem ist in der aktuellen Form nicht mehr finanzierbar. Wir brauchen eine offene Debatte darüber, welche medizinische Versorgung wir uns in Zukunft leisten wollen. Klar ist für mich schon heute: die Prävention muss deutlich gestärkt werden. Stichworte: Zuckerkonsum, Depression.","Der Aargau verfügt über eine gute Ausgangslage, um Vorbild für den notwendigen Wandel auf vielen Ebenen zu werden. Beispiele: Aufwertung des Veloverkehrs statt A1-Ausbau, Schutz des Trinkwassers, Förderung von nachhaltigen Lebensmittelanbau und -konsum, konsequent nachhaltige Energiepolitik.",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
