Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Binder-Keller,Marianne,Mitte,04a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Meier,Andreas,Mitte,04a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bally,Maya,Mitte,04a,"Ich liebe die Politische Arbeit, trage gerne dazu bei, die Rahmenbedingungen für das Zusammenleben in unserer Demokratie optimal zu entwickeln. Auf Kantonsebene durfte ich bereits Spuren hinterlassen, diese würde ich auch gerne auf eidgenössischer Ebene tun. Realistisch, glaubwürdig, aufgeschlossen.","Wir haben viele grosse Herausforderungen, ganz sicher eine sichere Altersvorsorge, eine Nachhaltige Energie-/Umweltpolitik und ein bezahlbares und gutes Gesundheitssystem. Wir müssen dafür gemeinsam, ohne Scheuklappen und Ideologie Lösungen entwickeln für uns alle und die nächsten Generationen.","Sofern als Nationalrätin möglich, setze ich mich für eine ausgewogene Aufgabenverteilung zw. Bund und Kantonen und den Erhalt der Kantonsautonomie ein, sowie einen fairen Ressourcen-/Finanzausgleich. Ebenso wichtig ist mir ein gut ausgebautes Schienen- und Strassennetz im Kanton.",2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,Patriotismus
Bucher,Ralf,Mitte,04a,Ich habe dank meiner 20-jährigen Tätigkeit als Geschäftsführer beim Bauernverband Aargau und über zehn Jahren im Grossen Rat sehr viel Erfahrung. Deshalb habe ich zahlreichen Geschäften zum Durchbruch verholfen. Das will ich auf nationaler Ebene mit einem noch grösseren Wirkungskreis fortführen.,"Ich will die sichere Versorgung mit gesunden Nahrungsmitteln stärken und den Zubau von erneuerbaren Energien forcieren, um unabhängiger zu werden. Dazu braucht es weniger Bürokratie und mehr Vertrauen in die Unternehmen. Der Fokus ist auf das grosse Ganze zu legen und nicht auf Kleinkram.",Der Aargau ist ein enorm vielseitiger Kanton und darf in Bern durchaus auch selbstbewusster auftreten. Sei dies bei Forderungen im Bereich Verkehr und Infrastruktur oder auch als wichtiger Nahrungs- und Energielieferant. Zudem soll der Aargau im Bereich Forschung seine wichtige Stellung ausbauen.,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,Energie
Kaufmann,Alfons Paul,Mitte,04a,"Vor allem um immer wieder Brücken zu bauen und nach gemeinsamen Lösungen zu suchen. In der Verbandspolitik: Viele schöne Erfolge, welche ich über die Parteigrenzen erreichen durfte. Bsp. Beschaffungs-/Submissionswesen). Meine Erfahrungen als Familienvater, Unternehmer/Lehrmeister und Mensch.",Gesundheits- und Bildungspolitik. Arbeitsplätze und Ressourcenpolitik.,"Ideale Rahmenbedingungen in der Bildung/Forschung, Gesundheit und im Verkehr.",0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,"Bildung, Gesundheit"
Bachmann-Roth,Christina,Mitte,04a,"Als Unternehmerin und Mutter stosse ich immer wieder an Grenzen - die mir vom Gesetzgeber gegeben sind. Ich möchte diese mitgestalten. Im Unternehmen gibt es viele Auflagen, die nicht zur Branche passen und als Mutter muss ich mich plötzlich rechtfertigen dafür wie viel ich extern im Beruf arbeite.","Wir brauchen einen starken Bundesrat, der Führung übernimmt und mutige Entscheidungen trifft. Dies vor allem in der Positionierung gegenüber unseren Partnern in Europa, um unsere Sicherheit zu gewährleisten. Wir müssen unsere Kinder schützen  und die Altersvorsorge reformieren.","Als Nationalrätin kämpfe ich -mit Gelassenheit und Humor. Für den Erhalt unserer Sicherheit und für eine produktive Landwirtschaft. Als CEO in der Käsebranche und Mutter will ich die Vereinbarkeit von Familie und Beruf verbessern -es braucht mehr Teilzeitstellen und gute, bezahlbare Kinderbetreuung.",2.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,2.0,Familie
Saner,Edith,Mitte,04a,"Durch die Spitexorganisation in unserem Dorf und Kulturverein konnte ich als junge Frau die erste politische Luft schnuppern. Ich bringe gerne Anliegen und Themen der Bevölkerung ein. Meine Stärke ist, Herausforderungen gemeinsam anzupacken und Lösungen zu suchen. Kompetent, erfahren, bodenständig.","Gesundheitspolitik, Umgang mit Fachkräftemangel, Stärkung unserer Wirtschaft, Umgang mit der zunehmend alternden Gesellschaft, Vereinbarung von Familie und Beruf, Herausforderungen der Klimaveränderung.","All das, was den Aargau stark macht, was ihn ausmacht und auf solidem Fundament stehen lässt, auf Bundesebene einfliessen zu lassen. Gehört zu werden und mit dem Wissen und der Erfahrung anderer Kantone nachhaltige und verlässliche Grundlagen zu unterschiedlichen Themen erarbeiten.",0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Wirtschaft
Rotzetter,Andre,Mitte,04a,"Als junger Sozialarbeiter bin ich in Aarau mit ca. 30 jungen Obdachlosen in Kontakt gekommen, die sich in einem stillgelegten Hotel aufhielten. Der Abbruch des Hauses stand bevor und mir wurde klar, dass Einzelschicksale immer auch mit der Gesellschaft und somit mit der Politik zu tun haben.","Es braucht eine nachhaltige gesellschaftliche Weiterentwicklung. Eine einseitige Fokussierung auf die Ökologie ist falsch. Denn die Menschen müssen den Wandel mittragen. Ökologie, Ökonomie und Soziales bilden die drei Säulen der Nachhaltigkeit in Unternehmen, Gesellschaften und auf der ganzen Welt.",In Bern stehe ich wie im Aargau als Grossrat für folgende Themen ein: Senioren wollen ihr Leben selber gestalten. Familie und Beruf darf kein Gegensatz sein. Menschen brauchen Arbeit statt Sozialhilfe oder Renten. Die Energiewende ist zu schaffen. Diese Probleme betreffen den Aargau.,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,Umwelt
Wyler,Roman,Mitte,04a,"Ich bin überzeugt, dass alle Menschen nach ihren Möglichkeiten einen Beitrag an das Zusammenleben unserer Gesellschaft leisten sollen. Mit meinen kommunikativen Fähigkeiten und bodenständiger Art, glaube ich einen Teil für eine konsensorientierte Politik beitragen zu können.","Die finanzielle Belastung mit gestiegenen Krankenkassenprämien, Mieten und Hypotheken und Energiepreisen schwächt den Mittelstand. Dem soll entgegengewirkt werden, z.B. mit der Kostenbremseninitaive und der AHV-Renteninitiative der Mittepartei.","Den Mittelstand stärken, eine familienfreundliche Politik gestalten und ehrenamtliche Tätigkeiten fördern, das sind meine Schwerpunkte. Ausserdem setze ich mich ein für eine kontrollierbare Migration und Asylpolitik, ohne die soziale Verantwortung zu vernachlässigen.",0.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,Sozialwerke
Wick,Jacqueline,Mitte,04a,"Für den Nationalrat kandidiere ich, weil auch die jüngere Generation im Parlament vertreten sein muss und ich hoffe, junge Menschen zu ermutigen, sich auch in der Politik zu engagieren. In der Politik braucht es mehr Menschen, die sich für die Allgemeinheit einsetzen und nicht für eigene Interessen.","Ich bin der Meinung, dass es nicht «Die grösste Herausforderung» gibt, Probleme sollten nie nur isoliert betrachtet werden, sondern in ihrem gesamten Kontext. Gefragt sind konstruktive und konsensfähige Lösungen. Dringenden Handlungsbedarf sehe ich bezüglich Nachhaltigkeit und Chancengerechtigkeit.","Der Aargau ist der Kanton der Vielfalt und das möchte ich zeigen. Stadt und Land, wirtschaftlich und sozial, Rüeblitorte und weisse Socken. Die Schweiz ist das Wasserschloss Europas, der Aargau das Wasserschloss der Schweiz.",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
