Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Suter,Gabriela,SP,02a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Wermuth,Cédric,SP,02a,"Ich möchte weiter Partei ergreifen für eine soziale Schweiz. Das bedeutet für mich, dass wir niemanden fallen lassen in unserer Gesellschaft. Es gibt in der Schweiz und global zu viel Armut und Gewalt. Ich engagiere mich dafür, dass die soziale Gerechtigkeit zum Leitfaden der Politik wird.","Es gibt drei ganz grosse Baustellen:   - Die steigende Ungleichheit und die Kaufkraft der Bevölkerung - Die Klimakrise, auf die wir sozial verträgliche Antworten brauchen - Die Gleichstellung, die wir endlich voran bringen müssen","Ich engagiere mich seit meiner ersten Wahl dafür, dass der Aargau als Wohn- und Familienkanton wahrgenommen wird. Das bedeutet, dass er gut an die öffentliche Infrastruktur und gerade auch den öffentlichen Verkehr angebunden ist.",0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,"Verkehr, Familie"
Brizzi,Simona,SP,02a,"Bei verschiedenen Themen sollten nicht nur kantonale sondern auch nationale Lösungen gefunden werden. Nach 12 Jahren als Grossrätin bin ich bereit für Bern. Ich bringe das nötige Rüstzeug mit und möchte mich auf nationaler Ebene sachorientiert, engagiert und konstruktiv für unser Land einsetzen.","Der demografische Wandel, der Fachkräftemangel, der Klimawandel und die Versorgungssicherheit werden uns alle fordern. Dazu braucht es eine gute Zusammenarbeit zwischen Politik, Wirtschaft, Wissenschaft und Gesellschaft.","Für die Anliegen des Aargaus habe ich ein offenes Ohr. Ich möchte mich in Bern für tragfähige Lösungen zum Wohl einer sozialen, ökologischen und wirtschaftlich starken Gesellschaft einzusetzen. Durch konstruktive Lösungsansätze erhoffe ich mir Impulse und Unterstützung auch für den Aargau.",0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Wirtschaft, Umwelt, Zuwanderung"
Hunziker,Lelia,SP,02a,"Ich blicke in meiner Arbeit täglich in die dunkelsten Winkel der Schweiz. Ich arbeite mit Menschen am Rande der Gesellschaft, welche von Gewalt und Ausbeutung betroffen sind. Sie brauchen Schutz, Würde und Rechte. Weil: «Die Stärke des Volkes sich misst am Wohl der Schwachen.»","Grundrecht auf Einbürgerung. Wer in der Schweiz lebt, bestimmt mit. Das ist Demokratie. Für einen starken Service public, gegen Privatisierung. Es braucht eine gute Grundversorgung für alle. Armutsbekämpfung und soziale Sicherheit. Die Gesellschaft driftet auseinander. Das gilt es zu verhindern.","Gute öV-Anbindungen für den Aargau, sichere Renten für alle,  Schutz der Kaufkraft und Entlastung der Haushalte. Ein würdiges Asylwesen, eine solide und nachhaltige Energieversorgung, Schutz vor dem Klima. Gleichstellung: in der Arbeit, im Ausgang und im Alter",2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"Energie, Patriotismus"
Brügger,Martin,SP,02a,"Ich bin überzeugt einer der besseren/vielseitigen Aargauer Kandidaten zu sein; mit einem breiten Spektrum in Energie-, Umweltpolitik; in Verkehrspolitik, in Gesundheitspolitik und Sicherheitsfragen. Es stehen wichtige Probleme und Entscheidungen an, welche vernetzt angegangen werden müssen.","Ich stehe ein für Mensch und Umwelt. Als Ing. will ich, dass Systeme funktionieren, auch eine gute Klima-/Energiepolitik. Menschen müssen mit sozialer Sicherheit arbeiten/leben; davon profitieren auch Unternehmen. Bildung, Forschung, Energie-/Wasserversorgung, ÖV dürfen nicht privatisiert werden.","Ich will, dass die Schweiz lebenswert ist und nicht jeder m2 zubetoniert wird. Dafür bracht es eine gute ÖV Versorgung  - auch in den Regionen. Für die Schweiz ist eine gute Energie-/Klimapolitik zentral. - Wachstum um jeden Preis ist nicht angesagt. Gute Bildung/Forschung sind zentral.",2.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,Energie
Basler,Colette,SP,02a,"Nach sieben Jahren im Grossen Rat ist der Moment gekommen, um meinen Rucksack zu packen. Darin befinden sich meine Erfahrungen als Grossrätin, Co- Fraktionspräsidentin und Kommissionsmitglied. Ich bin gut vernetzt und möchte mein Wissen auch in Bern einbringen.","Die Klima- und Energiekrise, der Fachkräftemangel und die hohen Gesundheits- und Lebenshaltungskosten sind grosse Herausforderungen. Wir müssen Betroffene zu Beteiligten machen. Ob Projekte in der Landwirtschaft, der Bildung … Meine Erfahrungen zeigen: nur gemeinsam kommen wir weiter.",Unser Kanton soll Vorbild in Sachen nachhaltige Landwirtschaft werden und das Projekt LABIOLA (Landwirtschaft Biodiversität Landschaft) auf die ganze Schweiz ausgeweitet werden.  Kein weiterer Ausbau der Autobahnen oder neue AKW. Nationale Lösungen in der Bildung zur Entlastung der Schulen vor Ort.,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,"Bildung, Landwirtschaft"
Jenni,Mia,SP,02a,"Ich trat nach der Annahme der Masseneinwanderungsinitiative 2014 der JUSO bei, weil nie Ausländerinnen je das Problem waren, sondern Fremdenhass und eine Politik die für Grosskonzerne und Bonzen statt Büezer gemacht wird. Für würdige Rente, zahlbare Mieten und echten Klimaschutz.","Die drängendste Krise unserer Zeit ist die Klimakrise. Hier müssen griffige Massnahmen ergriffen werden, die nicht vor hohen Investitionen zurückschrecken. Die Rentenfrage: Viele Renten reichen nicht zum Leben und die Reformen gehen in die falsche Richtung. Ja zur 13. AHV-Rente.","Bessere ÖV-Anbindungen, stärkere Klima- und Biodiversitätsschutzmassnahmen, keinen Ausbau von Autobahnen, mehr Unterstützung in der Asylpolitik, damit Integration und Menschenwürde für alle im Vordergrund stehen, genügend Schutzplätze für alle und staatliche Mietkontrollen.",0.0,2.0,4.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,Sozialwerke
Burger,Alain,SP,02a,Gerechtigkeit ist mein Antrieb Politik zu machen. Ich setze mich für andere Menschen ein und vertrete klare Haltungen. 2014 wurde ich in den Wettinger Einwohnerrat gewählt und seit 2019 bin ich Grossrat des Kantons Aargau. Durch meine parlamentarischen Erfahrungen bin ich bereit für den Nationalrat.,"Der Fachkräftemangel: Deshalb setze ich mich dafür ein, dass der duale und der akademische Bildungsweg attraktiv und durchlässig bleiben und dass der individuelle Bildungserfolg durch die erbrachten Leistungen und nicht durch die soziale Herkunft bestimmt wird. Denn Bildung stärkt den Menschen.","Die Schulen, die Spitäler, der öffentliche Verkehr und die digitale Infrastruktur sollen uns allen gehören und nicht profitorientiert sein. Ich engagiere mich für einen innovativen Service public, faire Löhne, gute Renten, bezahlbare Mieten und eine umweltfreundliche Enegieversorgung.",0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,Bildung
Binggeli,Tatjana,SP,02a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Capanni,Luzia,SP,02a,Gerechtigkeit ist der Antrieb für mein politisches Engagement. Ausschlaggebend war die Migrationserfahrung meiner Familie und später mein Beruf. Die Politik schliesst bewusst Menschen und damit auch Potential aus. Ich bin überzeugt: «Die Stärke eines Volkes misst sich am Wohl der Schwachen».,"Die Folgen des Klimawandels und die schwindende Kaufkraft werden die Agenda bestimmen. Es braucht mutige Investitionen für den ökologischen Umbau und eine rasche Energiewende. Die Bevölkerung muss entlastet werden, Mieten bezahlbar sein, die Steuer- und Lohnpolitik die Arbeitenden begünstigen.","Die Solidarität in der Gesellschaft stärken. Löhne und Renten, die allen Menschen gut zum Leben reichen. Mehr Entlastung der Krankenkassenprämien. Eine mutige Klimapolitik ohne AKW sowie ein Ausbau des ÖV. Gut für den Aargau wären auch zeitgemässe, demokratiefördernde Einbürgerungsverfahren.",0.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,"Energie, Umwelt"
