Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Giezendanner,Benjamin,SVP,01a,"In der Politik braucht es Menschen, die sich in der Gemeinschaft und der Gesellschaft engagieren. Menschen, die ihren Teil der Verantwortung übernehmen und an unsere Gesellschaft ein klein wenig von dem zurückgeben, was sie von ihr erhalten haben. Gerne nehme ich diese Aufgabe wahr.","Die Schweiz, als kleines Land, muss auch zukünftig ein Sonderfall bleiben. Ein Sonderfall, welcher mit Eigenschaften der direkten Demokratie, der bewährten immerwährenden Neutralität, sowie der Freiheit und Unabhängigkeit der Bürgerinnen und Bürger, den Unterschied ausmacht.","Als Ständerat sehe ich mich nicht als «historisches Fossil» sondern ich will mit meinem künftigen Einsatz in der kleinen Kammer dem Aargau eine starke Stimme geben. Diese brauchen wir bei Herausforderungen wie der Energieversorgung, der Verkehrsanbindung sowie der überbordenden Regulierungsdichte.",5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Patriotismus
Glarner,Andreas,SVP,01a,"Als die Schweiz im Jahre 1992 dem EWR beitreten wollte, las in den Vertrag und merkte, dass wir diesen nie unterschreiben dürfen. Weil sich nur die SVP gegen den EWR einsetzte, trat ich dann der SVP bei. Was ich einbringe: Meine Erfahrung als Unternehmer, Familienvater, Gemeindeamman, Nationalrat.","Das Asyl- und Migrationsproblem - es kommen zu viele und die Falschen! Unser Land erlebt einen gigantischen Asylbetrug und macht nichts dagegen. Die Schweiz löst sich auf wie ein Stück Zucker im Wasser. Wir müssen unsere Werte verteidigen, sonst sind wir bald fremd im eigenen Land!","Ich kämpfe für eine lebenswerte, sichere, freie und unabhängige Schweiz! Die Plünderung unserer Sozialwerke muss gestoppt werden. Kriminelle Ausländer gehören ausgeschafft. Die Masseneinwanderung und der gigantische Asylbetrug müssen endlich gestoppt werden. Den Gender- und Woke-Irrsinn abschaffen.",3.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Zuwanderung
Burgherr,Thomas,SVP,01a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bircher,Martina,SVP,01a,Ich setzte mich für unsere Schweiz ein damit unser Land so einzigartig bleibt für unsere nachkommenden Generationen.,"Es braucht eine neue Migrations- und Asylpolitik wenn wir nicht alle paar Jahre eine Flüchtlingskrise erleben wollen. Die Zuwanderung muss wieder selber gesteuert werden, wenn wir keine 10 Millionen Schweiz wollen. Die Gesundheitskosten sowie die Vorsorgesysteme geraten ins Ungleichgewicht.","Selbstbewusster Kanton, der seine Vorzüge einbringen kann. Der Aargau darf nicht der Kanton sein, welcher viele “Lasten“ für die Schweiz trägt aber selber nichts davon hat.",0.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,Zuwanderung
Heimgartner,Stefanie,SVP,01a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Huber,Alois,SVP,01a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Riner,Christoph,SVP,01a,"Mich motiviert der Aargauer Mittelstand, die Kinder, Familien, Rentner, Landwirte, Angestellte und Selbständige. Sie haben es verdient in einem unabhängigen und sicheren Land zu leben. In einem Land, in welchem den natürlichen Lebensgrundlagen Sorge getragen wird und Traditionen gelebt  werden.","Das schnelle Bevölkerungswachstum bereitet mir Sorgen. Die Zuwanderung muss wieder eigenständig gesteuert werden können. Eine 10-Millionen-Schweiz hätte starke Folgen für unsere Landschaft, Natur und Gesellschaft. Ich möchte auch kommenden Generationen eine lebenswerte Schweiz überlassen.","Der Aargau soll für die hier lebende Bevölkerung ein attraktiver Wohn- und Arbeitsort bleiben. Dazu darf unser Kanton bei Infrastrukturvorlagen nicht übergangen werden. Ebenfalls braucht es mehr Unterstützung für Grenzkantone, wie der Aargau einer ist, zur Gewährleistung der Grenzsicherheit.",3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,"Familie, Patriotismus"
Glur,Christian,SVP,01a,"Der Schweiz so dienen, damit auch unsere Enkel und Urenkel noch stolze Schweizerinnen und Schweizer sein können. Deshalb: Eine vo eus - für eusi Schwiiz.","Versorgungssicherheit der Schweiz steigern und sicherstellen, sei es im Energie-, Lebensmittel oder Arzneimittel-Bereich. Abbau und Vereinfachung der Bürokratie vorantreiben. Die Zuwanderung auf ein vernünftiges Niveau begrenzen, damit unser Land lebenswert bleibt.","Dafür sorgen, dass die Rahmenbedingungen für unseren Kanton gut bleiben oder besser werden. Sei es in Bereichen Verkehr und Energie, vor allem aber für ein starkes Gewerbe und eine produzierende Landwirtschaft.",2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,"Landwirtschaft, Energie, Patriotismus"
Hagenbuch,Christoph,SVP,01a,"Ich kandidiere, weil mir die Schweiz, ihre Bürger und die Natur am Herzen liegen! Für unsere beiden Kinder wünsche ich mir eine ebenso sichere und lebenswerte Schweiz, wie ich sie bisher erleben durfte. Dafür werde ich mich mit aller Kraft einsetzen. Vielen Dank für Ihre Unterstützung!","Lebenswichtige Güter (z.B. Medikamente, Nahrungsmittel) müssen wieder vermehrt in der Schweiz produziert werden. Durch eine ausgedehnte Lagerhaltung muss die Versorgungssicherheit der Schweiz weiter erhöht werden. Und zwar sofort, nicht erst in der nächsten Krise!","Mehr Versorgungssicherheit dank einer produzierenden Land- und Forstwirtschaft Tiefe Steuern, Abgaben und Gebühren. Mehr Freiheit und weniger Gesetze und Vorschriften, Sicherheit und Lebensqualität für uns, u.a. durch Begrenzung der Zuwanderung.",3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,"Landwirtschaft, Patriotismus"
Stutz,Désirée,SVP,01a,"Im Parlament braucht es Menschen, die bereit sind, Probleme zu lösen statt zu bewirtschaften. Ich politisiere unabhängig und vertrete einzig die Wählerinnen und Wähler; keine Verbände oder Geldgeber. Ich arbeite überparteilich zusammen, um tragfähige Lösungen zu erreichen. Wir haben viele Probleme zu lösen!","Die Bürgerinnen und Bürger müssen sich frei und sicher in unserem Land bewegen können. Das erreichen wir nur, wenn wir das Thema Migration restriktiv angehen; wir müssen den Zutritt in unser Land wieder selbständig kontrollieren. Landesverweisungen müssen konsequent umgesetzt und dann auch vollzogen werden.","Ich setze mich dafür ein, dass unser Kanton auch künftig gestalten und entscheiden statt nur Bundesrecht vollziehen kann. Der Aargau ist einer der grössten Kantone; als dieser soll er auch wahrgenommen und berücksichtigt werden; es gibt nicht nur Ballungszentren sondern auch ländliche Räume.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
