Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Abrham,Sarah,EVP,07g,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Abt,Lukas,Junge_SVP,01b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ackermann,Adrian,FDP,03e,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Acklin-Stihl,Jasmin,Junge_EVP,07b,"In der Politik gibt es für mich drei Herzensangelegenheiten: die Gesundheits-, die Bildungs- und die Gemeindepolitik. Vor allem in der Bildung wird es kreative Lösungen und verschiedene Angebote geben müssen, wenn wir die Kinder ihrer Fähigkeiten entsprechend fördern wollen.","Neben der Bildungspolitik ist ein grosser Baustein die Versorgungssicherheit beim Strom für die gesamte Bevölkerung. Die Gemeinden müssten hier in die Verantwortung genommen werden, einen Notfallplan für Stromausfälle auszuarbeiten, während vom Kanton die Strukturen kommen müssten.",- Verbesserung der Gesundheitspolitik - Offenheit für eine Anpassung der Bildungspolitik an die Bedürfnisse der Kinder - Familienfördernde Strukturen im Kanton - Transparenz im Umgang mit Strommangellage und Notfallplänen.,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,Bildung
Aegerter,Emanuel,GLP,06g,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aerni,Thomas,EVP,07f,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Affentranger,Franz,Mitte,04j,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aglil,Jasmin,Junge_EVP,07b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ahmeti,Kujtim,SP,02f,"Meine Motivation, gründet darauf, das Gesundheitswesen zu verbessern. Als Leiter Pflege erlebte ich aus erster Hand, wie unser Gesundheitssystem mit steigenden Kosten und Fachkräftemangel kämpft. Diese Erfahrungen sensibilisierten und motivierten mich, aktiv nach Lösungen zu suchen.","In der Nationalrat engagiere ich mich für eine nachhaltige Gestaltung des Gesundheitswesens, um die Krankenkassenkosten und den Fachkräftemangel zu bewältigen. Gezielte Verbesserungen in der Ausbildung und Arbeitsbedingungen für Fachkräfte sind unerlässlich, um dem Fachkräftemangel entgegenzuwirken.","Meine Aufgabe wäre, die Anliegen der Bürger:innen bestmöglich zu vertreten. Neben das Gesundheitswesen sind mir Solidarität, Gerechtigkeit, Umweltschutz besonders wichtig. Ich werde mich für gleiche Chancen für alle einsetzen, um eine lebenswerte Zukunft für kommende Generationen zu gewährleisten.",0.0,3.0,2.0,0.0,7.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,Wirtschaft
Allenspach,Simone,SP,02d,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Allmark-Holtvik,Lena,GLP,06c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Altherr,Bruno,EVP,07h,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Altwegg,Leonie,Junge_EVP,07b,"Mir ist es wichtig, die Gesellschaft und die Umwelt positiv zu beeinflussen. Meiner Meinung nach reicht es in diesen Belangen nicht, auf Selbstverantwortung zu hoffen. Deshalb wuchs der Wunsch in mir, mich politisch aktiv einzubringen.","Als sehr dringlich sehe ich die Verantwortung, welche die Schweiz tragen sollte. Dies ist nicht nur im Bereich vom Klimaschutz nötig, sondern auch betreffend der globalen Verantwortung zu den Mitmenschen.","Mehr Trandparenz in allen Bereichen. Bei Abstimmungen oder Wahlen soll klar aufzeigt werden, aus welchen Quellen das Geld bezogen wird. Weiter soll bei Produkten klar die Herkunft aufgezeigt werden.  Mit mehr Transparenz wird es möglich ein nachhaltiges Gedankengut zu kultivieren.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amhof,Nicole,GLP,06f,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ammann,Pascal,SP,02e,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
